tech,years,cif_built,cif_withdrawn
Battery,0.0027378507871321013,0.0,0.0003003003003003003
Battery,0.0054757015742642025,0.0,0.0006006006006006006
Battery,0.008213552361396304,0.0,0.0009009009009009009
Battery,0.010951403148528405,0.0,0.0015015015015015015
Battery,0.013689253935660506,0.0,0.002102102102102102
Battery,0.01642710472279261,0.0,0.0024024024024024027
Battery,0.019164955509924708,0.0,0.0030030030030030034
Battery,0.02737850787132101,0.0,0.003303303303303304
Battery,0.030116358658453114,0.0,0.004204204204204205
Battery,0.03285420944558522,0.0,0.004204204204204205
Battery,0.03559206023271732,0.0,0.004804985981456571
Battery,0.038329911019849415,0.0,0.004804985981456571
Battery,0.05475701574264202,0.0,0.0051057399899239455
Battery,0.06023271731690623,0.0,0.006910264040728195
Battery,0.06297056810403832,0.0,0.008113280074597695
Battery,0.06570841889117043,0.0,0.00841403408306507
Battery,0.07392197125256673,0.0,0.00961705011693457
Battery,0.07665982203969883,0.0,0.01021855813386932
Battery,0.07939767282683094,0.0,0.012323836193140944
Battery,0.08213552361396304,0.0,0.013226098218543068
Battery,0.08487337440109514,0.0,0.013827606235477817
Battery,0.08761122518822724,0.0,0.014429114252412566
Battery,0.09034907597535935,0.0,0.015632130286282065
Battery,0.09308692676249145,0.0,0.016233638303216814
Battery,0.09856262833675565,0.0,0.016835146320151564
Battery,0.10130047912388775,0.0,0.01713590032861894
Battery,0.10403832991101986,0.0,0.018339653053262395
Battery,0.11772758384668036,0.0,0.01894152941558412
Battery,0.12320328542094455,0.0,0.02044622032138844
Battery,0.13415468856947296,0.0,0.021048096683710167
Battery,0.13963039014373715,0.0,0.021649973046031893
Battery,0.14236824093086928,0.0,0.022252034601080488
Battery,0.14510609171800137,0.0,0.022553065378604787
Battery,0.15058179329226556,0.0,0.023155126933653382
Battery,0.15331964407939766,0.0,0.024058219266226276
Battery,0.15605749486652978,0.0,0.024962427216257566
Battery,0.15879534565366188,0.0,0.025565232516278426
Battery,0.16153319644079397,0.0,0.025866635166288857
Battery,0.16427104722792607,0.0,0.026168037816299287
Battery,0.1697467488021903,0.0,0.026469440466309717
Battery,0.17248459958932238,0.0,0.027373648416341007
Battery,0.17522245037645448,0.0,0.027976453716361867
Battery,0.17796030116358658,0.0,0.028277856366372298
Battery,0.1806981519507187,0.0,0.028579259016382728
Battery,0.1834360027378508,0.0,0.028880661666393158
Battery,0.1861738535249829,0.0,0.02918215789065072
Battery,0.188911704312115,0.0,0.030086646563423407
Battery,0.19164955509924708,0.0,0.03038823653650692
Battery,0.1943874058863792,0.0,0.030991416482673947
Battery,0.1971252566735113,0.0,0.031293100350518695
Battery,0.1998631074606434,0.0,0.03189646808620819
Battery,0.2026009582477755,0.0,0.03280151968974243
Battery,0.2080766598220397,0.0,0.034008255161121416
Battery,0.2108145106091718,0.0,0.03461162289681091
Battery,0.2135523613963039,0.0,0.03551667450034515
Battery,0.216290212183436,0.0,0.03612004223603465
Battery,0.2190280629705681,0.0,0.03702509383956889
Battery,0.22176591375770022,0.0,0.03793014544310313
Battery,0.2245037645448323,0.0,0.03883519704663737
Battery,0.2272416153319644,0.0,0.039438564782326865
Battery,0.2299794661190965,0.0,0.03974024865017161
Battery,0.2327173169062286,0.0,0.040343616385861106
Battery,0.23545516769336072,0.0,0.04094926888419758
Battery,0.24093086926762491,0.0,0.04125324692892525
Battery,0.243668720054757,0.0,0.04125324692892525
Battery,0.2464065708418891,0.0,0.04186139583667728
Battery,0.24914442162902123,0.0,0.04338321699957964
Battery,0.2518822724161533,0.0,0.043687775033008615
Battery,0.2546201232032854,0.0,0.04460144913329555
Battery,0.25735797399041754,0.0,0.044906201462120654
Battery,0.26283367556468173,0.0,0.04521095379094576
Battery,0.2655715263518138,0.0,0.04551580342255784
Battery,0.2683093771389459,0.0,0.04582075045021837
Battery,0.27104722792607805,0.0,0.04612579496733787
Battery,0.2737850787132101,0.0,0.04612579496733787
Battery,0.27652292950034224,0.0,0.04643142592056845
Battery,0.28199863107460643,0.0,0.047042687827029625
Battery,0.2874743326488706,0.0,0.047042687827029625
Battery,0.29021218343600275,0.0,0.0476547349125614
Battery,0.29842573579739906,0.0,0.04796075845532728
Battery,0.30116358658453113,0.0,0.048266781998093165
Battery,0.30390143737166325,0.0,0.048266781998093165
Battery,0.30937713894592744,0.0,0.048266781998093165
Battery,0.3258042436687201,0.0,0.04857310102545136
Battery,0.32854209445585214,0.0,0.04887951870628052
Battery,0.33401779603011633,0.0,0.04887951870628052
Battery,0.33675564681724846,0.0,0.04918623282472415
Battery,0.3394934976043806,0.0,0.049799661061611426
Battery,0.34223134839151265,0.0,0.0504130892984987
Battery,0.34770704996577684,0.0,0.050719803416942336
Battery,0.35044490075290896,0.0,0.051026616667292385
Battery,0.3586584531143053,0.0,0.051026616667292385
Battery,0.36960985626283366,0.0,0.051333628438024415
Battery,0.3805612594113621,0.0,0.051947651979488474
Battery,0.38329911019849416,0.0,0.052254663750220504
Battery,0.3860369609856263,0.0,0.05286888626237202
Battery,0.3887748117727584,0.0,0.05286888626237202
Battery,0.3942505133470226,0.00030721087049550064,0.05286888626237202
Battery,0.3997262149212868,0.00030721087049550064,0.05286888626237202
Battery,0.4024640657084189,0.00030721087049550064,0.053790818008104375
Battery,0.405201916495551,0.00030721087049550064,0.05440764355171142
Battery,0.4134154688569473,0.00030721087049550064,0.05471605632351494
Battery,0.4161533196440794,0.00030721087049550064,0.05502446909531847
Battery,0.4216290212183436,0.00030721087049550064,0.05625812018253255
Battery,0.4243668720054757,0.00030721087049550064,0.05656653295433608
Battery,0.4271047227926078,0.00030721087049550064,0.05687514756695884
Battery,0.42984257357973993,0.00030721087049550064,0.0571839643509623
Battery,0.432580424366872,0.0006160276544989549,0.057492781134965754
Battery,0.4380561259411362,0.0006160276544989549,0.058110414702972665
Battery,0.4407939767282683,0.0006160276544989549,0.05841923148697612
Battery,0.44353182751540043,0.0006160276544989549,0.05872804827097958
Battery,0.4462696783025325,0.0006160276544989549,0.05903686505498303
Battery,0.4490075290896646,0.0006160276544989549,0.05934568183898649
Battery,0.4517453798767967,0.0006160276544989549,0.059654498622989945
Battery,0.4544832306639288,0.0006160276544989549,0.0599633154069934
Battery,0.459958932238193,0.0006160276544989549,0.06058115207712724
Battery,0.4654346338124572,0.0006160276544989549,0.061507907082328006
Battery,0.4681724845995893,0.0006160276544989549,0.06181682541739493
Battery,0.47091033538672145,0.0006160276544989549,0.06397925376286338
Battery,0.4736481861738535,0.0006160276544989549,0.06397925376286338
Battery,0.4791238877481177,0.0006160276544989549,0.06428837627396142
Battery,0.48186173853524983,0.0006160276544989549,0.0652157438072555
Battery,0.48459958932238195,0.0006160276544989549,0.06583419347858172
Battery,0.487337440109514,0.0006160276544989549,0.06645305312648819
Battery,0.49007529089664614,0.0006160276544989549,0.06676248295044143
Battery,0.4928131416837782,0.0006160276544989549,0.06800020224625439
Battery,0.49555099247091033,0.0006160276544989549,0.06800020224625439
Battery,0.49828884325804246,0.0006160276544989549,0.06830973490497796
Battery,0.5174537987679672,0.0006160276544989549,0.0692383328811487
Battery,0.5201916495550992,0.0006160276544989549,0.07295272478583163
Battery,0.5229295003422314,0.0006160276544989549,0.07697664934923815
Battery,0.5256673511293635,0.0006160276544989549,0.08007197593647393
Battery,0.5284052019164955,0.0006160276544989549,0.08347683518243329
Battery,0.5338809034907598,0.0006160276544989549,0.08347683518243329
Battery,0.5366187542778919,0.0006160276544989549,0.08440795053705519
Battery,0.5393566050650239,0.0006160276544989549,0.08440795053705519
Battery,0.5420944558521561,0.0006160276544989549,0.08471853302918297
Battery,0.5475701574264202,0.0006160276544989549,0.08565091370126893
Battery,0.5503080082135524,0.0006160276544989549,0.0859617072586309
Battery,0.5530458590006845,0.0006160276544989549,0.0859617072586309
Battery,0.5557837097878165,0.0006160276544989549,0.0859617072586309
Battery,0.5722108145106092,0.0006160276544989549,0.0859617072586309
Battery,0.5776865160848734,0.0006160276544989549,0.08627334910956468
Battery,0.5804243668720055,0.0006160276544989549,0.08658499096049845
Battery,0.5831622176591376,0.0006160276544989549,0.08689663281143221
Battery,0.5913757700205339,0.0006160276544989549,0.08720827466236598
Battery,0.5968514715947981,0.0006160276544989549,0.08814351973859613
Battery,0.6078028747433265,0.0006160276544989549,0.08845526809733952
Battery,0.6105407255304586,0.0006160276544989549,0.08845526809733952
Battery,0.6132785763175906,0.0006160276544989549,0.08845526809733952
Battery,0.6160164271047228,0.0006160276544989549,0.0887673368552183
Battery,0.6187542778918549,0.0006160276544989549,0.0887673368552183
Battery,0.621492128678987,0.0006160276544989549,0.08907961965202567
Battery,0.6297056810403833,0.0006160276544989549,0.08939190244883304
Battery,0.6351813826146475,0.0006160276544989549,0.0897041852456404
Battery,0.6516084873374401,0.0006160276544989549,0.09001646804244777
Battery,0.6543463381245722,0.0006160276544989549,0.09032885811606613
Battery,0.6598220396988365,0.0006160276544989549,0.09064124818968448
Battery,0.6652977412731006,0.0006160276544989549,0.09095363826330284
Battery,0.6680355920602327,0.0006160276544989549,0.0912660283369212
Battery,0.6707734428473648,0.0006160276544989549,0.0912660283369212
Battery,0.6735112936344969,0.0006160276544989549,0.0912660283369212
Battery,0.6844626967830253,0.0006160276544989549,0.0912660283369212
Battery,0.6872005475701575,0.0006160276544989549,0.09220546069279215
Battery,0.6899383983572895,0.0006160276544989549,0.0925186048114158
Battery,0.6926762491444216,0.0006160276544989549,0.0931448930486631
Battery,0.6954140999315537,0.0006160276544989549,0.0931448930486631
Battery,0.6981519507186859,0.0006160276544989549,0.09440007182885261
Battery,0.7008898015058179,0.0006160276544989549,0.0947138665239
Battery,0.7063655030800822,0.0006160276544989549,0.09534145591399476
Battery,0.7091033538672142,0.0006160276544989549,0.09596948128143588
Battery,0.7118412046543463,0.0006160276544989549,0.09628349396515645
Battery,0.7145790554414785,0.0006160276544989549,0.09753954470003871
Battery,0.7227926078028748,0.0006160276544989549,0.09785355738375928
Battery,0.7255304585900069,0.0006160276544989549,0.0984815827512004
Battery,0.7282683093771389,0.0006160276544989549,0.09973850969866367
Battery,0.731006160164271,0.0006160276544989549,0.10036741250372962
Battery,0.7337440109514032,0.0006160276544989549,0.101626098621814
Battery,0.7419575633127995,0.0006160276544989549,0.1019407701513351
Battery,0.7446954140999316,0.0006160276544989549,0.10288511585690595
Battery,0.7474332648870636,0.0006160276544989549,0.10320000832493847
Battery,0.7501711156741958,0.0006160276544989549,0.10320000832493847
Battery,0.7529089664613279,0.0006160276544989549,0.10540658157437356
Battery,0.75564681724846,0.0009314748636630788,0.10540658157437356
Battery,0.758384668035592,0.0009314748636630788,0.10572202878353769
Battery,0.7611225188227242,0.0009314748636630788,0.10603747599270182
Battery,0.7638603696098563,0.0009314748636630788,0.11013973876261958
Battery,0.7665982203969883,0.0009314748636630788,0.11077108023021455
Battery,0.7693360711841205,0.0009314748636630788,0.111718092431607
Battery,0.7720739219712526,0.0009314748636630788,0.111718092431607
Battery,0.7748117727583846,0.0009314748636630788,0.11266984477272755
Battery,0.7802874743326489,0.0009314748636630788,0.1136215971138481
Battery,0.783025325119781,0.0009314748636630788,0.11393896160417874
Battery,0.785763175906913,0.0009314748636630788,0.11457369058484002
Battery,0.7912388774811773,0.0009314748636630788,0.11457369058484002
Battery,0.7967145790554415,0.0009314748636630788,0.11520864739356328
Battery,0.7994524298425736,0.0009314748636630788,0.11616108260664816
Battery,0.8021902806297057,0.0012491817519429235,0.11743191015976755
Battery,0.8049281314168378,0.0012491817519429235,0.11806732393632724
Battery,0.8076659822039699,0.0012491817519429235,0.11870319649539708
Battery,0.8158795345653662,0.0015671180314778441,0.119021132774932
Battery,0.8186173853524983,0.0015671180314778441,0.11965700533400184
Battery,0.8213552361396304,0.0015671180314778441,0.11965700533400184
Battery,0.8240930869267625,0.0015671180314778441,0.11997574885109814
Battery,0.8268309377138946,0.0015671180314778441,0.12061369883883774
Battery,0.8295687885010267,0.0015671180314778441,0.12093290581452126
Battery,0.8323066392881588,0.0015671180314778441,0.12125211279020479
Battery,0.8350444900752909,0.0015671180314778441,0.12220973371725535
Battery,0.840520191649555,0.0015671180314778441,0.12318984909561248
Battery,0.8432580424366872,0.0015671180314778441,0.12351667621767107
Battery,0.8459958932238193,0.0015671180314778441,0.12384399241884984
Battery,0.8542094455852156,0.0015671180314778441,0.12417266167459944
Battery,0.8569472963723477,0.0015671180314778441,0.12483000018609862
Battery,0.8596851471594799,0.0015671180314778441,0.12483000018609862
Battery,0.8624229979466119,0.0015671180314778441,0.12581935792311155
Battery,0.865160848733744,0.0015671180314778441,0.12713850157246215
Battery,0.8678986995208761,0.0015671180314778441,0.12812973522478985
Battery,0.8706365503080082,0.0015671180314778441,0.1297817913120027
Battery,0.8761122518822724,0.0015671180314778441,0.1297817913120027
Battery,0.8788501026694046,0.0015671180314778441,0.13011371759807705
Battery,0.8815879534565366,0.0015671180314778441,0.1304458978445845
Battery,0.8843258042436687,0.0015671180314778441,0.1311107672311214
Battery,0.8870636550308009,0.0015671180314778441,0.13177589155223904
Battery,0.8898015058179329,0.0015671180314778441,0.1321087091368843
Battery,0.892539356605065,0.0015671180314778441,0.1344384322294012
Battery,0.8952772073921971,0.0015671180314778441,0.1344384322294012
Battery,0.8980150581793293,0.0015671180314778441,0.13543726974355047
Battery,0.9007529089664613,0.0015671180314778441,0.13710264143831113
Battery,0.9034907597535934,0.0015671180314778441,0.13710264143831113
Battery,0.9062286105407256,0.0015671180314778441,0.13743661981773347
Battery,0.9144421629021219,0.0015671180314778441,0.1381071776542995
Battery,0.917180013689254,0.0015671180314778441,0.1384427181005999
Battery,0.919917864476386,0.0015671180314778441,0.1391137989932007
Battery,0.9226557152635181,0.0015671180314778441,0.1391137989932007
Battery,0.9253935660506503,0.0015671180314778441,0.1391137989932007
Battery,0.9308692676249144,0.0015671180314778441,0.1394507868688773
Battery,0.9336071184120466,0.0015671180314778441,0.1397877747445539
Battery,0.9363449691991786,0.0015671180314778441,0.1404617504959071
Battery,0.9390828199863107,0.0015671180314778441,0.14113572624726028
Battery,0.9418206707734429,0.0015671180314778441,0.14147271412293688
Battery,0.944558521560575,0.0015671180314778441,0.14180970199861348
Battery,0.9582477754962354,0.0019041059071544409,0.14180970199861348
Battery,0.9609856262833676,0.0019041059071544409,0.14214668987429008
Battery,0.9637234770704997,0.0019041059071544409,0.1424840762377976
Battery,0.9664613278576317,0.0019041059071544409,0.14282253027967065
Battery,0.9691991786447639,0.0019041059071544409,0.14349943836341672
Battery,0.971937029431896,0.0019041059071544409,0.14349943836341672
Battery,0.9774127310061602,0.0019041059071544409,0.14417688303700327
Battery,0.9801505817932923,0.0019041059071544409,0.1451930500473831
Battery,0.9856262833675564,0.0019041059071544409,0.1462092170577629
Battery,0.9883641341546886,0.0019041059071544409,0.14654793939455618
Battery,0.9911019849418207,0.0022428282439477146,0.14722538406814273
Battery,0.9938398357289527,0.0022428282439477146,0.147564106404936
Battery,0.9965776865160849,0.0022428282439477146,0.14824155107852255
Battery,0.999315537303217,0.0022428282439477146,0.14993516276248892
Battery,1.0047912388774811,0.0022428282439477146,0.15061314917511873
Battery,1.0102669404517455,0.0022428282439477146,0.15095214238143362
Battery,1.0130047912388775,0.0022428282439477146,0.1512911355877485
Battery,1.0157426420260096,0.0022428282439477146,0.15196939362955003
Battery,1.0184804928131417,0.0022428282439477146,0.1523085226504508
Battery,1.0212183436002737,0.0022428282439477146,0.15298678069225233
Battery,1.0239561943874058,0.0022428282439477146,0.1533259097131531
Battery,1.0266940451745379,0.0022428282439477146,0.1543432967758554
Battery,1.0294318959616702,0.0022428282439477146,0.1553606838385577
Battery,1.0321697467488022,0.0022428282439477146,0.1553606838385577
Battery,1.0376454483230664,0.0022428282439477146,0.15638425186761906
Battery,1.0403832991101984,0.0022428282439477146,0.15774956289380718
Battery,1.0431211498973305,0.0022428282439477146,0.15774956289380718
Battery,1.0458590006844628,0.0022428282439477146,0.15809102940147476
Battery,1.0485968514715949,0.0022428282439477146,0.15843249590914235
Battery,1.051334702258727,0.0022428282439477146,0.15877410139381753
Battery,1.054072553045859,0.0022428282439477146,0.15945759065684176
Battery,1.056810403832991,0.0022428282439477146,0.15979933528835388
Battery,1.0677618069815196,0.0022428282439477146,0.160141079919866
Battery,1.0704996577686516,0.0022428282439477146,0.16048296403898282
Battery,1.0759753593429158,0.0022428282439477146,0.16082484815809964
Battery,1.0896646132785763,0.0022428282439477146,0.16116673227721645
Battery,1.0924024640657084,0.0022428282439477146,0.16116673227721645
Battery,1.0951403148528405,0.0022428282439477146,0.16185078006092768
Battery,1.0978781656399725,0.0022428282439477146,0.16253566854244766
Battery,1.103353867214237,0.0022428282439477146,0.16322055702396762
Battery,1.106091718001369,0.0022428282439477146,0.16356300126472761
Battery,1.108829568788501,0.0022428282439477146,0.16356300126472761
Battery,1.111567419575633,0.0022428282439477146,0.1639055861396727
Battery,1.1143052703627652,0.0022428282439477146,0.1642481710146178
Battery,1.1170431211498972,0.0022428282439477146,0.1649361685389607
Battery,1.1197809719370295,0.0022428282439477146,0.165280309449381
Battery,1.1279945242984257,0.0022428282439477146,0.16562445035980128
Battery,1.1334702258726899,0.0022428282439477146,0.16596859127022157
Battery,1.1444216290212184,0.0022428282439477146,0.16631273218064185
Battery,1.1471594798083504,0.0022428282439477146,0.16665687309106214
Battery,1.1498973305954825,0.0025871117148114223,0.16665687309106214
Battery,1.163586584531143,0.0025871117148114223,0.16768972350365327
Battery,1.1663244353182751,0.0025871117148114223,0.16803400697451698
Battery,1.1690622861054072,0.0025871117148114223,0.16803400697451698
Battery,1.1718001368925393,0.0025871117148114223,0.16803400697451698
Battery,1.1772758384668036,0.0025871117148114223,0.16907246133342016
Battery,1.1800136892539357,0.0029332631677791484,0.16907246133342016
Battery,1.1854893908281998,0.0029332631677791484,0.16907246133342016
Battery,1.1882272416153319,0.0029332631677791484,0.16976505378469478
Battery,1.2019164955509924,0.0032795593934164553,0.1701113500103321
Battery,1.2046543463381245,0.0032795593934164553,0.1701113500103321
Battery,1.2238193018480492,0.0032795593934164553,0.17115067409741874
Battery,1.242984257357974,0.0032795593934164553,0.17184413883199176
Battery,1.2457221081451062,0.0032795593934164553,0.17253760356656478
Battery,1.2484599589322383,0.0032795593934164553,0.17288433593385127
Battery,1.2594113620807665,0.0032795593934164553,0.17323209283747
Battery,1.264887063655031,0.0032795593934164553,0.1735798497410887
Battery,1.267624914442163,0.0032795593934164553,0.1763619049700384
Battery,1.2813141683778233,0.0032795593934164553,0.1763619049700384
Battery,1.2840520191649556,0.0032795593934164553,0.17670980935326
Battery,1.2922655715263518,0.0032795593934164553,0.1777535225029248
Battery,1.3004791238877482,0.0032795593934164553,0.1777535225029248
Battery,1.3059548254620124,0.0032795593934164553,0.1777535225029248
Battery,1.3141683778234086,0.0032795593934164553,0.1781023159092722
Battery,1.3169062286105406,0.0032795593934164553,0.17879990272196697
Battery,1.322381930184805,0.0032795593934164553,0.17879990272196697
Battery,1.325119780971937,0.0032795593934164553,0.17950047705848485
Battery,1.3442847364818618,0.0032795593934164553,0.1798507642267438
Battery,1.3579739904175223,0.0032795593934164553,0.1798507642267438
Battery,1.3607118412046544,0.0032795593934164553,0.18020135207068363
Battery,1.3634496919917864,0.0032795593934164553,0.18055193991462348
Battery,1.3689253935660506,0.0032795593934164553,0.18125311560250318
Battery,1.3716632443531827,0.0032795593934164553,0.18335664266614224
Battery,1.374401095140315,0.0032795593934164553,0.1837072305100821
Battery,1.377138945927447,0.0032795593934164553,0.1837072305100821
Battery,1.3880903490759753,0.0032795593934164553,0.18405979478158968
Battery,1.3963039014373717,0.0032795593934164553,0.18476492332460487
Battery,1.3990417522245038,0.0032795593934164553,0.18511748759611246
Battery,1.4127310061601643,0.0032795593934164553,0.18547005186762006
Battery,1.4154688569472964,0.0032795593934164553,0.18582261613912765
Battery,1.4209445585215605,0.0032795593934164553,0.18582261613912765
Battery,1.4236824093086926,0.0032795593934164553,0.18617579463410477
Battery,1.4264202600958247,0.0032795593934164553,0.1868827677226111
Battery,1.431895961670089,0.0036330459376696083,0.1868827677226111
Battery,1.4373716632443532,0.0036330459376696083,0.1875897408111174
Battery,1.4401095140314852,0.0036330459376696083,0.18865020044387687
Battery,1.4428473648186173,0.0036330459376696083,0.18900368698813003
Battery,1.4455852156057496,0.0036330459376696083,0.18935748333654115
Battery,1.4483230663928817,0.003987308216302527,0.19077453245107281
Battery,1.4510609171800137,0.003987308216302527,0.19325436840150326
Battery,1.4537987679671458,0.003987308216302527,0.19502567979466787
Battery,1.4565366187542779,0.003987308216302527,0.19644272890919953
Battery,1.45927446954141,0.003987308216302527,0.19856830258099706
Battery,1.462012320328542,0.003987308216302527,0.19892256485962997
Battery,1.4647501711156743,0.003987308216302527,0.1992768271382629
Battery,1.4702258726899384,0.003987308216302527,0.20069387625279456
Battery,1.4784394250513346,0.003987308216302527,0.20104813853142747
Battery,1.4893908281998631,0.004341570494935446,0.20104813853142747
Battery,1.4948665297741273,0.004341570494935446,0.2014024008100604
Battery,1.5003422313483916,0.004695832773568365,0.2014024008100604
Battery,1.5085557837097878,0.004695832773568365,0.20175713797110434
Battery,1.51129363449692,0.004695832773568365,0.20246661229319224
Battery,1.514031485284052,0.004695832773568365,0.20388556093736807
Battery,1.516769336071184,0.004695832773568365,0.20424029809841202
Battery,1.5195071868583163,0.004695832773568365,0.20459503525945597
Battery,1.5249828884325805,0.004695832773568365,0.20494977242049991
Battery,1.5441478439425051,0.004695832773568365,0.20530450958154386
Battery,1.5496235455167693,0.004695832773568365,0.20530450958154386
Battery,1.5523613963039014,0.004695832773568365,0.2060152605105991
Battery,1.5550992470910336,0.004695832773568365,0.2063706359751267
Battery,1.5633127994524298,0.004695832773568365,0.20743676236870953
Battery,1.566050650239562,0.004695832773568365,0.20779213783323713
Battery,1.568788501026694,0.004695832773568365,0.20885826422681997
Battery,1.571526351813826,0.004695832773568365,0.20921363969134757
Battery,1.5742642026009583,0.004695832773568365,0.2099243906204028
Battery,1.5770020533880904,0.004695832773568365,0.2099243906204028
Battery,1.5852156057494866,0.004695832773568365,0.21134718007077605
Battery,1.5879534565366187,0.004695832773568365,0.21170287743336935
Battery,1.593429158110883,0.004695832773568365,0.2131256668837426
Battery,1.6016427104722792,0.004695832773568365,0.2138370616089292
Battery,1.6071184120465434,0.005051530136161676,0.21561554842189576
Battery,1.6098562628336757,0.005051530136161676,0.21597124578448906
Battery,1.6153319644079398,0.005051530136161676,0.21597124578448906
Battery,1.6180698151950719,0.005051530136161676,0.21632759401142382
Battery,1.620807665982204,0.005051530136161676,0.2170402904652933
Battery,1.6290212183436004,0.005051530136161676,0.2423410145776601
Battery,1.6317590691307324,0.00540787836309642,0.24376640748539907
Battery,1.6399726214921286,0.00540787836309642,0.24412275571233383
Battery,1.6454483230663928,0.00540787836309642,0.24519180039313807
Battery,1.6509240246406571,0.00540787836309642,0.2473431888751776
Battery,1.6536618754277892,0.00540787836309642,0.2473431888751776
Battery,1.6591375770020533,0.005766615248723749,0.24806066264643226
Battery,1.6618754277891854,0.005766615248723749,0.24913687330331424
Battery,1.6646132785763177,0.005766615248723749,0.24949561018894156
Battery,1.6673511293634498,0.006125352134351079,0.24949561018894156
Battery,1.6700889801505818,0.006125352134351079,0.2512892946170782
Battery,1.672826830937714,0.006125352134351079,0.25164803150270554
Battery,1.675564681724846,0.006125352134351079,0.2534417159308422
Battery,1.678302532511978,0.006125352134351079,0.2545179265877242
Battery,1.68104038329911,0.006125352134351079,0.2566703479014882
Battery,1.6837782340862424,0.006125352134351079,0.2595402429865068
Battery,1.6865160848733745,0.006125352134351079,0.26384508561403475
Battery,1.6892539356605065,0.006484089019978408,0.2652800331565441
Battery,1.6947296372347707,0.006484089019978408,0.2659975069277987
Battery,1.6974674880219027,0.006484089019978408,0.26635624381342604
Battery,1.700205338809035,0.006484089019978408,0.2670737175846807
Battery,1.702943189596167,0.006484089019978408,0.2670737175846807
Battery,1.7056810403832992,0.006484089019978408,0.26779834820153386
Battery,1.7084188911704312,0.006484089019978408,0.26816284722854467
Battery,1.7111567419575633,0.006484089019978408,0.26816284722854467
Battery,1.7166324435318274,0.006484089019978408,0.26816284722854467
Battery,1.7193702943189597,0.006484089019978408,0.2685310467532916
Battery,1.7221081451060918,0.006484089019978408,0.2688992462780385
Battery,1.7248459958932238,0.006484089019978408,0.2696356453275324
Battery,1.727583846680356,0.006484089019978408,0.27074024390177326
Battery,1.730321697467488,0.00685266406693315,0.271108818948728
Battery,1.7385352498288844,0.00685266406693315,0.2718459690426375
Battery,1.7412731006160165,0.00685266406693315,0.27295282536011645
Battery,1.7440109514031485,0.00685266406693315,0.2733217774659428
Battery,1.7467488021902806,0.00685266406693315,0.2755366253381493
Battery,1.757700205338809,0.00685266406693315,0.27775147321035587
Battery,1.7604380561259412,0.00685266406693315,0.278121186834502
Battery,1.7659137577002053,0.00685266406693315,0.2784912831849671
Battery,1.7686516084873374,0.00685266406693315,0.2784912831849671
