years,cif_built,cif_withdrawn,naive_km_built,at_risk
0.0027378507871321013,0.00014935032608154528,0.00014935032608154528,0.0001493503260815432,20087
0.0054757015742642025,0.00014935032608154528,0.00019913376810872703,0.0001493503260815432,20081
0.008213552361396304,0.00019913376810872706,0.0007965350724349082,0.0001991436851289663,20080
0.010951403148528405,0.0002489172101359088,0.0012445860506795441,0.0002489668204413986,20067
0.013689253935660506,0.00029870065216309056,0.0020411211231144526,0.0002988123124481046,20057
0.01642710472279261,0.00029870065216309056,0.003036789963658088,0.0002988123124481046,20040
0.019164955509924708,0.00029870065216309056,0.00393289192014736,0.0002988123124481046,20020
0.02190280629705681,0.00029870065216309056,0.004281376014337633,0.0002988123124481046,20002
0.024640657084188913,0.00029870065216309056,0.004380977767723014,0.0002988123124481046,19988
0.02737850787132101,0.00029870065216309056,0.004729601347961233,0.0002988123124481046,19985
0.030116358658453114,0.00029870065216309056,0.005028421559593992,0.0002988123124481046,19978
0.03285420944558522,0.00029870065216309056,0.005277438402621291,0.0002988123124481046,19972
0.03559206023271732,0.00029870065216309056,0.00587516863360419,0.0002988123124481046,19964
0.038329911019849415,0.0003485115047449988,0.0059747903387680065,0.0003489176245816683,19952
0.04106776180698152,0.0003485115047449988,0.006323606189883568,0.0003489176245816683,19941
0.04380561259411362,0.0003485115047449988,0.006622606204624562,0.0003489176245816683,19933
0.04654346338124572,0.0003485115047449988,0.007220606234106549,0.0003489176245816683,19927
0.049281314168377825,0.0003485115047449988,0.007918272935168868,0.0003489176245816683,19915
0.05201916495550993,0.0003485115047449988,0.008865106315182015,0.0003489176245816683,19901
0.05475701574264202,0.0003485115047449988,0.009861773030985328,0.0003489176245816683,19882
0.057494866529774126,0.0003485115047449988,0.011007939754159137,0.0003489176245816683,19862
0.06023271731690623,0.00039834484053516444,0.012602606499444438,0.00039930580354108347,19839
0.06297056810403832,0.00039834484053516444,0.013350106536296922,0.00039930580354108347,19806
0.06570841889117043,0.0004481781763253301,0.013698939886828082,0.00044981364519613987,19791
0.06844626967830253,0.0005478448479056613,0.01429693991631007,0.0005508650718103469,19783
0.07118412046543464,0.0005976781836958269,0.014496273259470732,0.0006014214547800378,19769
0.07392197125256673,0.0005976781836958269,0.015293606632113382,0.0006014214547800378,19764
0.07665982203969883,0.0005976781836958269,0.01619060667633636,0.0006014214547800378,19748
0.07939767282683094,0.0005976781836958269,0.016838440041608515,0.0006014214547800378,19730
0.08213552361396304,0.0006475317471325662,0.017287122112539167,0.0006521291811256713,19709
0.08487337440109514,0.0006475317471325662,0.018184668506574502,0.0006521291811256713,19695
0.08761122518822724,0.0006973954356900848,0.018832896457822244,0.0007029167946246417,19677
0.09034907597535935,0.0007472591242476033,0.019530988097627502,0.0007537379858572058,19663
0.09308692676249145,0.0007472591242476033,0.020129352360317727,0.0007537379858572058,19648
0.09582477754962354,0.0007472591242476033,0.021276217197140655,0.0007537379858572058,19636
0.09856262833675565,0.0007472591242476033,0.02172499039415832,0.0007537379858572058,19613
0.10130047912388775,0.0007971228128051219,0.021974308836945913,0.0008047095356437106,19604
0.10403832991101986,0.0007971228128051219,0.02222367817662904,0.0008047095356437106,19594
0.10677618069815195,0.0007971228128051219,0.022872038459805177,0.0008047095356437106,19589
0.10951403148528405,0.0007971228128051219,0.023121407799488305,0.0008047095356437106,19576
0.11225188227241616,0.0007971228128051219,0.023520398742981313,0.0008047095356437106,19571
0.11498973305954825,0.0007971228128051219,0.02376978083030475,0.0008047095356437106,19562
0.11772758384668036,0.000847001780710465,0.024168812573547496,0.0008558035881321979,19556
0.12046543463381246,0.000847001780710465,0.024717565441031285,0.0008558035881321979,19544
0.12320328542094455,0.0009467750293438811,0.025266318308515074,0.0009581067874780969,19533
0.12594113620807665,0.0009467750293438811,0.02536609155714849,0.0009581067874780969,19520
0.12867898699520877,0.0009966616536605892,0.025565638054415325,0.001009292456768618,19518
0.13141683778234087,0.0010465482779772972,0.026064504297582405,0.001060488618688571,19513
0.13415468856947296,0.0010465482779772972,0.027012398764587397,0.001060488618688571,19501
0.13689253935660506,0.0010465482779772972,0.027511290589326866,0.001060488618688571,19482
0.13963039014373715,0.0010964374604512442,0.027710847319222656,0.0011117899493880978,19472
0.14236824093086928,0.0010964374604512442,0.028010197791395776,0.0011117899493880978,19466
0.14510609171800137,0.001146329205813431,0.02900803269863951,0.001163120278784291,19460
0.14784394250513347,0.001146329205813431,0.02915770793472607,0.001163120278784291,19439
0.15058179329226556,0.0011962209511756177,0.02970651713371012,0.0012145113510070304,19436
0.15331964407939766,0.0011962209511756177,0.030604661027978066,0.0012145113510070304,19422
0.15605749486652978,0.0011962209511756177,0.031353616046817356,0.0012145113510070304,19391
0.15879534565366188,0.0011962209511756177,0.0319028780748443,0.0012145113510070304,19375
0.16153319644079397,0.0011962209511756177,0.032402207191232435,0.0012145113510070304,19364
0.16427104722792607,0.0011962209511756177,0.032851603395981754,0.0012145113510070304,19354
0.16700889801505817,0.0012461538628144309,0.03310126795417582,0.001266141513252994,19345
0.1697467488021903,0.00184534880248019,0.03355066415892514,0.0018858636447924848,19339
0.17248459958932238,0.00184534880248019,0.03434959074514615,0.0018858636447924848,19318
