region,years,cif_built,cif_withdrawn
CAISO,0.057494866529774126,0.0,0.0003979307600477517
CAISO,0.06570841889117043,0.0,0.0007958615200955034
CAISO,0.06844626967830253,0.0,0.001193792280143255
CAISO,0.07665982203969883,0.0,0.003183446080382013
CAISO,0.08487337440109514,0.0,0.003979307600477516
CAISO,0.08761122518822724,0.0,0.004377238360525268
CAISO,0.09582477754962354,0.0,0.0047751691205730196
CAISO,0.10951403148528405,0.0,0.005571030640668523
CAISO,0.11225188227241616,0.0,0.006764822920811778
CAISO,0.11772758384668036,0.0,0.007162753680859529
CAISO,0.12046543463381246,0.0,0.011142061281337046
CAISO,0.13141683778234087,0.0,0.011539992041384797
CAISO,0.13415468856947296,0.0,0.0123358535614803
CAISO,0.13689253935660506,0.0,0.012733784321528052
CAISO,0.13963039014373715,0.0,0.013529645841623555
CAISO,0.14236824093086928,0.0,0.013927576601671307
CAISO,0.14510609171800137,0.0,0.015519299641862314
CAISO,0.14784394250513347,0.0,0.015917230401910065
CAISO,0.15331964407939766,0.0,0.01711102268205332
CAISO,0.15605749486652978,0.0,0.019100676482292078
CAISO,0.15879534565366188,0.0,0.021090330282530836
CAISO,0.16153319644079397,0.0,0.02188619180262634
CAISO,0.16427104722792607,0.0,0.023079984082769595
CAISO,0.1697467488021903,0.0,0.025467568643056104
CAISO,0.17248459958932238,0.0,0.030242737763629124
CAISO,0.17522245037645448,0.0,0.03143653004377238
CAISO,0.17796030116358658,0.0,0.03422204536410664
CAISO,0.1806981519507187,0.0,0.03461997612415439
CAISO,0.1834360027378508,0.0,0.03581376840429765
CAISO,0.1861738535249829,0.0,0.0362116991643454
CAISO,0.188911704312115,0.0,0.038201352964584157
CAISO,0.19164955509924708,0.0003979307600477516,0.03939514524472741
CAISO,0.1943874058863792,0.0003979307600477516,0.04098686828491842
CAISO,0.1998631074606434,0.0003979307600477516,0.04138479904496617
CAISO,0.2026009582477755,0.0003979307600477516,0.047353760445682444
CAISO,0.2053388090349076,0.0003979307600477516,0.04894548348587345
CAISO,0.2080766598220397,0.0003979307600477516,0.050139275766016705
CAISO,0.2108145106091718,0.0003979307600477516,0.05292479108635097
CAISO,0.2135523613963039,0.0003979307600477516,0.05690409868682848
CAISO,0.216290212183436,0.0003979307600477516,0.06048547552725825
CAISO,0.22176591375770022,0.0003979307600477516,0.06406685236768801
CAISO,0.2245037645448323,0.0003979307600477516,0.06685236768802227
CAISO,0.2272416153319644,0.0003979307600477516,0.06923995224830878
CAISO,0.2299794661190965,0.0003979307600477516,0.0724233983286908
CAISO,0.2327173169062286,0.0003979307600477516,0.07560684440907281
CAISO,0.23545516769336072,0.0003979307600477516,0.07998408276959808
CAISO,0.24093086926762491,0.0003979307600477516,0.08197373656983684
CAISO,0.24914442162902123,0.0003979307600477516,0.0863509749303621
CAISO,0.2518822724161533,0.0003979307600477516,0.08674890569040986
CAISO,0.2546201232032854,0.0003979307600477516,0.08794269797055311
CAISO,0.25735797399041754,0.0003979307600477516,0.08953442101074412
CAISO,0.2600958247775496,0.0003979307600477516,0.09112614405093512
CAISO,0.26283367556468173,0.0003979307600477516,0.09152407481098288
CAISO,0.2655715263518138,0.0003979307600477516,0.09231993633107838
CAISO,0.27104722792607805,0.0003979307600477516,0.09311579785117388
CAISO,0.2737850787132101,0.0003979307600477516,0.09470752089136489
CAISO,0.27652292950034224,0.0003979307600477516,0.09510545165141264
CAISO,0.2792607802874743,0.0003979307600477516,0.09550338241146039
CAISO,0.28199863107460643,0.0003979307600477516,0.0970951054516514
CAISO,0.2874743326488706,0.0003979307600477516,0.09749303621169915
CAISO,0.29021218343600275,0.0003979307600477516,0.0978909669717469
CAISO,0.2929500342231348,0.0003979307600477516,0.0986868284918424
CAISO,0.29568788501026694,0.0003979307600477516,0.09908475925189016
CAISO,0.30390143737166325,0.0003979307600477516,0.09948269001193791
CAISO,0.3066392881587953,0.0003979307600477516,0.10027855153203341
CAISO,0.31211498973305957,0.0003979307600477516,0.10147234381217667
CAISO,0.31485284052019163,0.0003979307600477516,0.10226820533227217
CAISO,0.31759069130732376,0.0003979307600477516,0.10346199761241542
CAISO,0.3203285420944558,0.0003979307600477516,0.10425785913251093
CAISO,0.32306639288158795,0.0003979307600477516,0.10584958217270193
CAISO,0.3258042436687201,0.0003979307600477516,0.10783923597294069
CAISO,0.32854209445585214,0.0003979307600477516,0.1086350974930362
CAISO,0.33127994524298426,0.0003979307600477516,0.10903302825308395
CAISO,0.33401779603011633,0.0003979307600477516,0.1094309590131317
