feature,coef,odds_ratio
region_ERCOT,2.3545,10.5328
tech_Nuclear,2.2885,9.86
tech_Coal,1.8841,6.5805
region_SPP,1.6162,5.034
tech_Gas,1.5347,4.6399
region_MISO,1.1026,3.0121
tech_Other,0.8889,2.4324
tech_Wind,0.5549,1.7417
region_PJM,0.5048,1.6567
tech_Solar,0.2082,1.2314
service_NRIS,0.1644,1.1787
tech_Solar+Battery,0.1583,1.1715
cohort,-0.2798,0.7559
service_Unknown,-0.3584,0.6988
log_mw,-0.4942,0.6101
tech_Offshore Wind,-0.6302,0.5325
service_NRIS/ERIS,-1.37,0.2541
