tier,fixed_usd,energy_usd_per_kwh,power_usd_per_kw,r2,worst_resid_pct,n_obs
small order (1-5 units),24373.000000001375,218.18332621006508,84.38404209851487,0.999999999996839,0.00020782459593206862,10
volume order (20-50 units),22795.500000002925,204.13496130680304,78.9506555286454,0.9999999999999293,1.4336797884695739e-05,8
